,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,WDS(code),pmag,prot,origin
122,HD6582,Gaia DR3 411413822074322432,HD6582,HIP5336,GJ53+GJ53A+GJ53B,TIC252191219,-,30Cas+mu.Cas,J01083+5455A,G5Vb,SB*,17.0679,54.9202,01083+5455,,39.1,THE_stellar(RHK+Mamajek)
122,HD6582,Gaia DR3 411413822074322432,HD6582,HIP5336,GJ53+GJ53A+GJ53B,TIC252191219,-,30Cas+mu.Cas,J01083+5455A,G5Vb,SB*,17.0679,54.9202,01083+5455,13.3,,THE_YARARA
123,HD7284,Gaia DR3 414103708555300480,HD7284,HIP5784,-,TIC331782093,-,-,-,F5,PM*,18.5438,58.8123,-,,8.1,THE_stellar(RHK+Mamajek)
125,HD5372,Gaia DR3 416736832741633792,HD5372,HIP4393,-,TIC306956595,-,-,-,G5,PM*,14.0724,52.4912,-,,13.9,THE_stellar(RHK+Mamajek)
128,etaCasB,Gaia DR3 425040000962497792,HD4614B,-,GJ34B,TIC445258198,-,etaCasB,J00491+5749B,K7Ve,PM*,12.2716,57.8178,00491+5749,,1.0,THE_stellar(RHK+Mamajek)
128,etaCasB,Gaia DR3 425040000962497792,HD4614B,-,GJ34B,TIC445258198,-,etaCasB,J00491+5749B,K7Ve,PM*,12.2716,57.8178,00491+5749,,2.81,THE_VSINI
129,HD4614A,Gaia DR3 425040000962559616,HD4614A,HIP3821,GJ34A,TIC445258206,-,24Cas+etaCas+etaCasA,J00491+5749A,F9V,PM*,12.2762,57.8152,00491+5749,,15.9,THE_stellar(RHK+Mamajek)
130,HD5015,Gaia DR3 427322415301550208,HD5015,HIP4151,GJ41,TIC285544488,-,-,J00531+6107A,F9V,PM*,13.2675,61.124,00531+6107,,13.1,THE_stellar(RHK+Mamajek)
133,HD18768,Gaia DR3 434311667115069952,HD18768,HIP14181,-,TIC418085793,-,-,-,F8,PM*,45.7178,47.1106,-,,20.9,THE_stellar(RHK+Mamajek)
134,iotPer,Gaia DR3 436648129327098496,HD19373,HIP14632,GJ124,TIC116988032,-,iotPer,J03091+4937A,G0V,PM*,47.2667,49.6133,03091+4937,,14.9,THE_stellar(RHK+Mamajek)
135,HD16895,Gaia DR3 438829629114680704,HD16895,HIP12777,GJ107A,TIC302158903,-,13Per+tetPer,J02442+4914A,F8V,PM*,41.0499,49.2284,02442+4914,,5.5,THE_stellar(RHK+Mamajek)
137,HD13403,Gaia DR3 458598367152568448,HD13403,HIP10322,-,TIC347583453,-,-,J02129+5712A,G3V,PM*,33.2336,57.2045,02129+5712,,10.6,THE_stellar(RHK+Mamajek)
138,HD19256,Gaia DR3 460050169170768128,HD19256,HIP14592,-,TIC251808762,-,-,-,G0IV,PM*,47.1074,57.0129,-,,12.1,THE_stellar(RHK+Mamajek)
139,HD18757,Gaia DR3 466294295706341760,HD18757,HIP14286,GJ3194,TIC286636275,-,-,J03042+6142A,G1.5V,PM*,46.0401,61.7058,03042+6142,,20.6,THE_stellar(RHK+Mamajek)
140,HD17591,Gaia DR3 467468196170006144,HD17591,HIP13394,-,TIC390410291,-,-,J02524+6325A,G0,PM*,43.0951,63.4098,02524+6325,,5.8,THE_VSINI
140,HD17591,Gaia DR3 467468196170006144,HD17591,HIP13394,-,TIC390410291,-,-,J02524+6325A,G0,PM*,43.0951,63.4098,02524+6325,,4.1,THE_stellar(RHK+Mamajek)
142,HD31865,Gaia DR3 478240661338191360,HD31865,HIP23532,-,TIC416236614,-,-,J05036+6305A,G4V,PM*,75.8888,63.0859,05036+6305,,56.8,THE_stellar(RHK+Mamajek)
144,HD31675,Gaia DR3 482846859145086208,HD31675,HIP23484,-,TIC468418392,-,-,-,F6V:,PM*,75.7102,66.823,-,,4.12,THE_VSINI
144,HD31675,Gaia DR3 482846859145086208,HD31675,HIP23484,-,TIC468418392,-,-,-,F6V:,PM*,75.7102,66.823,-,,1.9,THE_stellar(RHK+Mamajek)
146,HD25665,Gaia DR3 493935296471302784,HD25665,HIP19422,GJ161,TIC102718782,-,-,-,K2.5V,PM*,62.396,69.5414,-,,40.4,THE_stellar(RHK+Mamajek)
148,HD10757,Gaia DR3 506485809392070016,HD10757,HIP8288,-,TIC403438102,-,-,-,G0V,PM*,26.6966,59.1561,-,,11.6,THE_stellar(RHK+Mamajek)
