,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,SPTP,OBTP,source_id_dr2,source_id_dr3,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Semi-Amplitude_σ_RV_total [m/s],HZ Detection Limit [M_Earth],Semi-Amplitude_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_granulation [m/s],σ_p-mode [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia Spectral type,HD Number,GJ Number,HIP Number,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),Distance [pc],HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score,Rank_2ES
952,HD103799,Gaia DR3 4035051032186364672,HD103799,HIP58287,-,TIC309620805,-,-,F6V,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,HD173885,Gaia DR3 4101951676226387584,HD173885,HIP92262,-,TIC427836578,-,-,F6V,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,HD153631,Gaia DR3 4140792817780067200,HD153631,HIP83276,GJ650,TIC434710990,-,-,G0V,SB*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,HD155515,Gaia DR3 4143169446523028608,HD155515,HIP84182,-,TIC146000751,-,-,F6V,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,HD162739,Gaia DR3 4148904396147803136,HD162739A,-,-,-,-,-,-,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,HD170715,Gaia DR3 4153080581800739968,HD170715,-,-,TIC432876084,-,-,-,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,HD168443,Gaia DR3 4157584215800708736,HD168443,HIP89844,GJ4052,TIC16465196,-,-,G6V,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,HD158719A,Gaia DR3 4163011675739017472,HD158719A,-,-,TIC3205453,-,-,-,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,HD161555,Gaia DR3 4165670677112908032,HD161555,HIP86985,-,TIC297814619,-,-,G2V,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,HD165360A,Gaia DR3 4170909850027869696,HD165360A,HIP88656,-,TIC204712890,-,-,F5V,SB*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
