,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,distance,vmag,PLATO
515,HD212106,Gaia DR3 2005068755894548096,HD212106,HIP110309,-,TIC422008981,-,-,-,F5V,PM*,335.1452,54.8418,49.43,7.41,0
516,HD211472,Gaia DR3 2005798350576886144,HD211472,HIP109926,GJ4268,TIC330736514,-,-,J22159+5440A,K1V,BY*,333.9756,54.6729,21.934,7.52,0
517,HD214238,Gaia DR3 2006899099154059904,HD214238,-,-,TIC64829703,-,-,J22357+5652A,G0,PM*,338.9138,56.8612,59.477,7.633,0
518,HD219134,Gaia DR3 2009481748875806976,HD219134,HIP114622,GJ892,TIC283722336,-,-,J23133+5710A,K3V,PM*,348.3207,57.1684,6.542,5.569,0
519,HD221354,Gaia DR3 2011251030583236352,HD221354,HIP116085,GJ895.4,TIC444314028,-,-,-,K0V,PM*,352.8425,59.1655,16.844,6.765,0
520,HD184385,Gaia DR3 2018474482692959232,HD184385,HIP96183,GJ762.2,TIC373071009,-,-,J19334+2150A,G8V,PM*,293.3565,21.8403,20.846,6.893,0
521,HD186379,Gaia DR3 2020792665545199232,HD186379,HIP97023,-,TIC284987730,-,-,-,F8V,PM*,295.7793,24.5979,43.073,6.86,0
522,3Cyg,Gaia DR3 2023112497641814528,HD182807,HIP95492,-,TIC110541820,-,3Cyg,"J19254+2455Aa,Ab",F8,**,291.3573,24.9128,28.302,6.184,0
523,HD187462,Gaia DR3 2028017281576098304,HD187462,HIP97509,-,TIC287511722,-,-,-,G0IV,PM*,297.2857,27.7317,49.968,6.916,0
524,HD187237,Gaia DR3 2028211207952435840,HD187237,HIP97420,-,TIC435479953,-,-,-,G2IV-V,PM*,297.0037,27.8695,25.516,6.883,0
525,HD190360,Gaia DR3 2029433521248546304,HD190360,HIP98767,GJ777A+GJ9683,TIC105999792,-,-,J20036+2954A,G7IV-V,PM*,300.9058,29.8968,16.003,5.738,0
526,17Cyg,Gaia DR3 2035035223783462400,HD187013,HIP97295,GJ767.1A+GJ9670A,TIC58445695,-,17Cyg,J19464+3344A,F5.5IV-V,PM*,296.6067,33.7276,20.986,5.011,0
527,HD178593,Gaia DR3 2035687337226254720,HD178593,HIP93995,-,TIC420223526,-,-,-,F8,SB*,287.0687,25.3748,62.719,7.47,0
528,HD176377,Gaia DR3 2041085973668754176,HD176377,HIP93185,GJ9639,TIC20785413,-,-,-,G1V,PM*,284.7125,30.1806,23.973,6.817,0
529,HD176051A,Gaia DR3 2043885295914531072,HD176051A,-,GJ738A,-,-,-,J18570+3254A,F9V,PM*,284.2568,32.9013,14.894,5.218,0
530,HD183650,Gaia DR3 2045074245953051648,HD183650,HIP95821,GJ761.1+GJ9658,TIC21704463,-,-,-,G6,PM*,292.3394,31.6087,36.907,6.974,0
531,HD184499,Gaia DR3 2045599984313800448,HD184499,HIP96185,-,TIC40468289,-,-,-,G0V,PM*,293.3628,33.2019,31.831,6.63,0
532,HD182488,Gaia DR3 2046207670631964928,HD182488,HIP95319,GJ758+GJ758A,TIC394547839,-,-,J19236+3313A,K0V,PM*,290.8917,33.222,15.608,6.376,0
533,HD185501,Gaia DR3 2047188847334279424,HD185501,HIP96576,GJ4118,TIC69452016,-,-,J19380+3353AB,G5,**,294.4968,33.8933,32.616,7.51,0
534,HD186257,Gaia DR3 2048592442637772800,HD186257,HIP96906,-,TIC184057863,-,-,-,F5,PM*,295.489,36.2257,53.891,7.48,0
535,HD181655,Gaia DR3 2051069711047203712,HD181655,HIP94981,GJ754.2+GJ9654,TIC122215177,-,-,J19196+3720AB,G5V,SB*,289.9125,37.3305,25.106,6.26,0
536,HD192557,Gaia DR3 2055882544018187776,HD192557,HIP99737,-,TIC380721865,-,-,J20142+3522A,F6V,PM*,303.558,35.3617,58.103,7.56,0
537,HD190771,Gaia DR3 2061876742143320064,HD190771,HIP98921,GJ1249+GJ9685,TIC274764311,KIC3393677,-,J20052+3829A,G2V,PM*,301.2907,38.4785,19.036,6.166,0
538,HD196850,Gaia DR3 2063583390317759616,HD196850,HIP101875,GJ794.3+GJ9702,TIC64804337,-,-,J20387+3838A,G1V,PM*,309.6674,38.6351,27.26,6.76,0
539,HD197037,Gaia DR3 2066437688140905600,HD197037,HIP101948,-,TIC195382102,-,-,J20396+4215A,G0,PM*,309.8873,42.2486,33.081,6.823,0
540,HD195016,Gaia DR3 2067221777373474944,HD195016,-,-,TIC15470366,-,-,-,G0,*,306.8479,39.7306,50.72,7.591,0
541,HD195988,Gaia DR3 2067833621234219520,HD195988,-,-,TIC17125337,-,-,-,G0,*,308.2562,41.4736,47.004,7.267,0
542,HD195987,Gaia DR3 2067948245320365184,HD195987,HIP101382,GJ793.1+GJ9699,TIC17038893,-,-,J20329+4154AB,G9V,SB*,308.2152,41.8985,21.859,7.083,0
543,HD197488,Gaia DR3 2070448844010046592,HD197488,HIP102189,-,TIC195800928,-,-,J20423+4549A,G2V,PM*,310.5846,45.8235,55.461,7.59,0
544,HD187637,Gaia DR3 2076894387328378240,HD187637,HIP97527,-,TIC169463989,KIC6225718,-,-,F8V,PM*,297.3256,41.5825,52.556,7.53,0
545,HD187160,Gaia DR3 2078929961307827200,HD187160,HIP97321,-,TIC272607848,KIC8379927,-,J19467+4421AB,F9IV-V,SB*,296.6722,44.3485,40.918,7.047,1
546,HD193632,Gaia DR3 2081226669297484160,HD193632,HIP100217,-,TIC193037877,-,-,-,F8,PM*,304.8933,43.4962,65.855,7.56,0
547,HD191022,Gaia DR3 2085991364277341824,HD191022,HIP98978,-,TIC364903891,-,-,-,G0,PM*,301.4185,48.5668,50.581,7.44,0
548,HD191649,Gaia DR3 2088264368349071232,HD191649,HIP99241,-,TIC294603115,-,-,-,G0,PM*,302.1788,50.5863,43.325,7.4,0
549,HD171620,Gaia DR3 2094417201055722624,HD171620,HIP91058,-,TIC27849731,-,-,-,F6p,PM*,278.6279,34.4156,49.333,7.567,0
550,HD174912,Gaia DR3 2097219065920129152,HD174912,HIP92532,-,TIC377727510,KIC3520395,-,-,F8,PM*,282.8549,38.6266,30.188,7.16,1
551,HD172649,Gaia DR3 2097610831356480256,HD172649,HIP91507,-,TIC157760804,-,-,J18397+3800,F5,PM*,279.9255,37.9931,45.903,7.5,0
552,HD177153,Gaia DR3 2103877089862772352,HD177153,HIP93427,-,TIC120495825,KIC6106415,-,-,G0,PM*,285.4153,41.4901,41.393,7.224,1
553,HD176969,Gaia DR3 2104192684058976896,HD176969,HIP93350,-,TIC164886225,-,-,-,F8,PM*,285.209,42.2525,34.478,6.823,1
554,HD169244,Gaia DR3 2107717477818284416,HD169244,HIP90024,-,TIC288618758,-,-,-,F8,PM*,275.5371,36.3018,68.583,7.61,0
555,HD171485,Gaia DR3 2110262881596160896,HD171485,HIP90954,-,TIC289456142,-,-,J18332+4010A,F5,SB*,278.3108,40.1596,41.673,7.25,1
556,HD170778,Gaia DR3 2112083741571086592,HD170778,HIP90586,-,TIC357793687,-,-,-,G5,PM*,277.2664,43.9393,36.804,7.49,1
557,HD167389,Gaia DR3 2113056534482408448,HD167389,HIP89282,-,TIC76136632,-,-,-,F8V:,PM*,273.2801,41.4754,34.674,7.38,1
558,HD168009,Gaia DR3 2115351387048328832,HD168009,HIP89474,GJ708.4+GJ9622,TIC416117806,-,-,-,G1V,PM*,273.8852,45.2093,23.291,6.295,1
559,HD173701,Gaia DR3 2117279002732678656,HD173701,HIP91949,GJ725.1+GJ9634,TIC123234496,KIC8006161,-,-,G8V,PM*,281.1463,43.8333,27.037,7.54,1
560,HD179957,Gaia DR3 2132788541955849216,HD179957,-,GJ9648B,TIC298896136,-,-,J19121+4951B,G3V,PM*,288.0195,49.8539,25.266,7.823,1
561,HD179958,Gaia DR3 2132788541955849984,HD179958,-,GJ9648A,TIC298896144,-,-,J19121+4951A,G2V,PM*,288.0209,49.8557,25.265,6.466,1
562,16CygA,Gaia DR3 2135550755683405952,HD186408,HIP96895,GJ765.1A,TIC27533341,KIC12069424,16CygA,J19418+5032Aa,G1.5Vb,**,295.454,50.5251,21.131,5.961,1
563,16CygB,Gaia DR3 2135550755683407232,HD186427,HIP96901,GJ765.1B,TIC27533327,KIC12069449,16CygB,J19418+5032B,G3V,PM*,295.4666,50.5175,21.128,6.215,1
564,HD184960,Gaia DR3 2136027771930903808,HD184960,HIP96258,GJ4116,TIC26884478,-,-,-,F7V,PM*,293.5825,51.2366,25.431,5.729,1
565,HD185414,Gaia DR3 2142179058450057856,HD185414,HIP96395,-,TIC275633056,-,-,J19359+5659A,G0,PM*,293.9816,56.9839,23.947,6.748,1
566,HD180161,Gaia DR3 2143016302194287488,HD180161,HIP94346,GJ1233+GJ9650,TIC284359245,-,-,-,K0,BY*,288.0473,57.672,20.215,7.027,1
567,HD200560A,Gaia DR3 2163558855915068416,HD200560A,HIP103859,GJ816.1A+GJ9717A,TIC304379558,-,-,J21028+4551C,K2.5V,BY*,315.6698,45.8848,19.458,7.688,0
568,HD201701,Gaia DR3 2164275119026100096,HD201701,HIP104468,-,TIC136460454,-,-,-,G0,*,317.4295,46.1587,67.75,7.6,0
569,HD208502,Gaia DR3 2173711437038708224,HD208502,HIP108174,-,TIC370617416,-,-,J21550+5356A,F5,PM*,328.7489,53.9356,46.461,6.931,0
570,HD192679A,Gaia DR3 2184643400111529984,HD192679A,-,-,TIC295412684,-,-,J20136+5307A,-,PM*,303.4197,53.1251,46.835,7.036,0
571,HD195663,Gaia DR3 2186511058051178624,HD195663,HIP101163,-,TIC469429060,-,-,-,F5,PM*,307.5782,54.681,53.878,7.812,0
572,HD218866,Gaia DR3 2208601827199381632,HD218866,-,-,TIC268721219,-,-,-,F8,PM*,347.6026,64.5299,36.118,7.034,0
573,HD215500,Gaia DR3 2211393521580984320,HD215500,HIP112245,-,TIC338930194,-,-,-,G8V,PM*,341.0243,64.5707,25.128,7.5,0
574,HD215065,Gaia DR3 2212723140372479872,HD215065,HIP111977,-,TIC376643089,-,-,-,K1,PM*,340.228,66.5234,30.348,7.46,0
575,HD218209,Gaia DR3 2213415145505277824,HD218209,HIP113989,GJ9808,TIC422556732,-,-,-,G8,PM*,346.2754,68.4171,29.608,7.488,0
576,HD206913,Gaia DR3 2216720002583969280,HD206913,HIP107191,-,TIC407029356,-,-,-,F5,PM*,325.6682,63.7214,35.776,6.898,0
577,ksiCepB,Gaia DR3 2218144866573662848,HD209791,-,-,-,-,ksiCepB,J22038+6438B,F8V,PM*,330.9426,64.6282,31.072,6.422,0
578,HD208930,Gaia DR3 2219266368432568320,HD208930,-,-,TIC371303911,-,-,-,G5,PM*,329.2653,66.0292,40.075,7.295,0
579,HD224414,Gaia DR3 2228908741808379392,HD224414,HIP118117,-,TIC406680738,-,-,-,F5,PM*,359.393,73.8658,58.165,7.58,0
580,HD210902,Gaia DR3 2230411842921279232,HD210902,HIP109479,-,TIC323193003,-,-,-,G0,PM*,332.6828,71.1282,43.982,7.49,0
581,HD187748,Gaia DR3 2235968637250218368,HD187748,HIP97438,-,TIC352300400,-,-,-,G0,PM*,297.0644,59.4229,27.436,6.657,1
582,HD193664,Gaia DR3 2246581329639103872,HD193664,HIP100017,GJ788,TIC403585118,-,-,-,G3V,PM*,304.3805,66.8537,17.481,5.929,0
583,HD188119B,Gaia DR3 2251191611957165440,HD188119B,-,-,-,-,63DraB+epsDraB,J19482+7016B,F5III,PM*,297.044,70.2688,46.771,6.939,0
584,HD176841,Gaia DR3 2256183639561630208,HD176841,HIP93007,-,TIC229790429,-,-,-,G5,PM*,284.2052,68.2924,43.316,7.62,0
585,HD172669,Gaia DR3 2257140386478701568,HD172669,HIP91210,-,TIC229738635,-,-,-,G3V,PM*,279.0977,66.9132,35.966,7.58,1
586,HD185144,Gaia DR3 2261614264931057664,HD185144,HIP96100,GJ764,TIC259237827,-,61Dra+sigDra,J19324+6940A,K0V,PM*,293.09,69.6612,5.764,4.678,0
587,HD204521,Gaia DR3 2272191085754928768,HD204521,HIP105766,GJ4194,TIC321684341,-,-,-,G0V_Fe-0.8,PM*,321.32,70.4775,26.359,7.26,0
588,18Cet,Gaia DR3 2376087581593256448,HD4307,HIP3559,GJ1020,TIC92226990,-,18Cet,J00455-1253A,G0V,PM*,11.3695,-12.8808,32.382,6.139,0
589,94AqrB,Gaia DR3 2411855072801159040,HD219834B,HIP115125,GJ894.2B,TIC214664575,-,94AqrB,J23191-1328B,K2,PM*,349.7773,-13.4553,22.437,6.879,0
590,HD361,Gaia DR3 2417456431710276096,HD361,HIP669,-,-,-,-,-,G1V,*,2.0682,-14.8245,27.31,7.04,0
591,HD224173,Gaia DR3 2419460360370951936,HD224173,HIP117980,-,TIC441051764,-,-,-,F5/6V,PM*,358.9534,-13.9666,50.296,7.317,0
592,HD1388,Gaia DR3 2423292879948720000,HD1388,HIP1444,GJ9008,TIC12880347,-,-,J00180-1327A,G0V,PM*,4.4953,-13.4556,26.924,6.521,0
593,9Cet,Gaia DR3 2423493369021649920,HD1835,HIP1803,GJ17.3+GJ9012,TIC184281898,-,9Cet,J00229-1213A,G2.5V,BY*,5.7158,-12.2094,21.334,6.388,0
594,HD4048,Gaia DR3 2425903017474575232,HD4048,HIP3369,-,-,-,-,J00428-0955A,F8V,*,10.7114,-9.9217,39.136,6.642,0
595,HD1461,Gaia DR3 2430102808294101760,HD1461,HIP1499,GJ16.1+GJ9009,TIC37748347,-,-,-,G3VFe0.5,PM*,4.6744,-8.053,23.402,6.479,0
596,HD1539,Gaia DR3 2430993550151504896,HD1539,HIP1573,-,TIC37750558,-,-,-,F7IV,PM*,4.9021,-7.2239,40.376,7.0,0
597,HD984,Gaia DR3 2431157720981843200,HD984,HIP1134,-,TIC408012676,-,-,J00142-0712AB,F7V,**,3.5427,-7.1991,45.71,7.32,0
598,HD223084,Gaia DR3 2435977498921201280,HD223084,HIP117258,-,TIC9068085,-,-,-,F9V,SB*,356.6421,-8.997,36.998,7.191,0
599,HD9782,Gaia DR3 2453895484005571200,HD9782,HIP7404,-,TIC54018090,-,-,-,F9V,PM*,23.8596,-13.381,37.935,7.183,0
600,chiCetB,Gaia DR3 2461045711199481472,HD11131,HIP8486,GJ9061B,TIC24910401,-,chiCetB,J01494-1042A,G3V,BY*,27.3473,-10.7036,23.923,6.75,0
601,HD11226,Gaia DR3 2467122570235222016,HD11226,HIP8548,-,TIC24921603,-,-,-,K4III,PM*,27.5644,-6.7041,43.317,7.078,0
602,HD7134,Gaia DR3 2468607533700284800,HD7134,HIP5578,-,TIC167460086,-,-,-,G1V,PM*,17.8837,-12.8431,41.658,7.48,0
603,HD7661,Gaia DR3 2468730472844294016,HD7661,HIP5938,-,TIC439410069,-,-,-,K0V,BY*,19.1008,-12.097,25.608,7.55,0
604,HD4813,Gaia DR3 2473608009504466688,HD4813,HIP3909,GJ37,TIC3962869,-,19Cet+phi02Cet,-,F7V,PM*,12.5316,-10.6443,15.923,5.169,0
605,HD10008,Gaia DR3 2477815222028038272,HD10008,HIP7576,-,TIC29900813,-,-,J01376-0645A,K0/1V,BY*,24.3978,-6.7604,24.06,7.66,0
606,HD9562,Gaia DR3 2477891500647336704,HD9562,HIP7276,GJ59.2,TIC29845542,-,-,-,G1V,PM*,23.4285,-7.0253,29.777,5.758,0
607,HD7449A,Gaia DR3 2482820714353923072,HD7449A,HIP5806,-,TIC248381971,-,-,J01145-0503Aa,F9.5V,PM*,18.6222,-5.0474,38.59,7.5,0
608,HD14938,Gaia DR3 2490426551679224064,HD14938,HIP11218,-,TIC251057639,-,-,-,F6V,SB*,36.0971,-3.104,57.863,7.2,0
609,79Cet,Gaia DR3 2495335115182966016,HD16141,HIP12048,GJ9085,TIC251109533,-,79Cet,J02353-0334A,G2V,PM*,38.833,-3.5606,37.728,6.834,0
610,84CetA,Gaia DR3 2498460442625153536,HD16765A,-,-,-,-,84CetA,J02412-0042A,-,PM*,40.3083,-0.6957,22.287,5.725,0
611,HD11505,Gaia DR3 2505825177666430592,HD11505,HIP8798,-,TIC328159699,-,-,J01531-0120A,G5V,PM*,28.2758,-1.3269,39.016,7.43,0
612,HD13043,Gaia DR3 2506906787870475904,HD13043,HIP9911,GJ9073A,TIC250419029,-,-,J02076-0037A,G2V,PM*,31.8928,-0.6174,37.004,6.879,0
613,HD9670,Gaia DR3 2510183229442059776,HD9670,HIP7357,-,TIC262809788,-,-,-,F9VFe-0.5,PM*,23.7036,0.9448,36.6,6.921,0
614,112Psc,Gaia DR3 2511794495013074048,HD12235,HIP9353,GJ83.2,TIC422679659,-,112Psc,-,G2IV,PM*,30.0382,3.097,31.797,5.881,0
615,HD14214,Gaia DR3 2513664248895784192,HD14214,HIP10723,-,TIC419994887,-,-,-,G1V,SB*,34.506,1.7578,22.423,5.607,0
616,HD13345,Gaia DR3 2520146866373897472,HD13345,-,-,TIC337046360,-,-,-,G0,PM*,32.635,6.0988,55.176,7.385,0
617,HD3770,Gaia DR3 2523208078545561088,HD3770,HIP3169,-,TIC3811994,-,-,-,F8V,PM*,10.1017,-7.6567,65.576,7.43,0
618,HD3821A,Gaia DR3 2523361151179609344,HD3821A,HIP3203,GJ9020A,TIC3816118,-,-,J00408-0714A,G1V,Y*O,10.1978,-7.2326,26.46,7.007,0
619,HD5975,Gaia DR3 2525176376157018112,HD5975,HIP4747,-,TIC398570795,-,-,-,G0V,PM*,15.2573,-4.6484,39.321,7.34,0
620,HD4915,Gaia DR3 2525514785221197696,HD4915,HIP3979,-,TIC333606239,-,-,-,G5V,PM*,12.7952,-5.0393,22.426,6.979,0
621,HD4449,Gaia DR3 2525804540894629504,HD4449,HIP3645,-,TIC333541953,-,-,"J00467-0426Aa,Ab",K0/1V,SB*,11.669,-4.4271,33.244,7.543,0
622,40Cet,Gaia DR3 2531792756096759296,HD7727,HIP5985,-,TIC248387672,-,40Cet,-,G2V,PM*,19.2459,-2.2792,28.724,6.516,0
623,HD6651A,Gaia DR3 2532795304542721280,HD6651A,-,-,TIC248345334,-,-,J01072-0144A,F6V,PM*,16.7958,-1.7321,52.063,7.171,0
624,HD633,Gaia DR3 2546769822454212992,HD633,HIP870,-,TIC427330376,-,-,-,F(6)V,*,2.6697,2.0555,56.723,7.51,0
625,HD4271,Gaia DR3 2549045055609126784,HD4271,HIP3540,-,TIC257558320,-,-,J00452+0015A,F7/8V,SB*,11.2957,0.2533,40.903,7.01,0
626,HD3628,Gaia DR3 2550696212836482944,HD3628,HIP3086,-,TIC328030874,-,-,-,G3V,PM*,9.8053,3.1339,43.547,7.315,0
627,HD5694,Gaia DR3 2551759337501198848,HD5694,HIP4582,-,TIC344656221,-,-,-,F6V,*,14.6768,4.2058,60.285,7.57,0
628,77PscB,Gaia DR3 2552059469815827456,HD6480,HIP5144,-,TIC344755786,-,77PscB,"J01058+0455Ba,Bb",F5/7(V),**,16.4643,4.9094,44.089,7.274,0
629,HD4628,Gaia DR3 2552925644460225152,HD4628,HIP3765,GJ33,TIC257393898,-,-,J00484+0517A,K2.5V,PM*,12.0957,5.2806,7.435,5.745,0
630,HD8648,Gaia DR3 2559181861327324928,HD8648,HIP6653,-,TIC399732990,-,-,-,G3V,Em*,21.3338,1.4609,39.809,7.38,0
631,HD12414,Gaia DR3 2569398939984509312,HD12414,HIP9473,-,TIC336959732,-,-,-,F2,PM*,30.4686,7.8644,46.499,7.064,0
632,HD11592,Gaia DR3 2574020152996148096,HD11592,HIP8859,-,TIC347440764,-,-,-,F6,PM*,28.4903,10.614,40.528,6.774,0
633,HD8331,Gaia DR3 2579398139245536768,HD8331,HIP6442,-,TIC365062665,-,-,-,G5,PM*,20.681,10.3696,57.464,7.47,0
634,HD7047,Gaia DR3 2579772969631487360,HD7047,HIP5534,-,TIC257883443,-,-,J01109+0934A,G0,PM*,17.7262,9.5639,39.262,7.212,0
635,HD7193,Gaia DR3 2583819069342416384,HD7193,HIP5631,-,TIC408261976,-,-,-,F5,PM*,18.0798,12.2818,34.859,6.896,0
636,HD9986,Gaia DR3 2585856120791459584,HD9986,HIP7585,-,TIC346923890,-,-,-,G2V,PM*,24.4203,12.0784,25.438,6.76,0
637,HD211380,Gaia DR3 2599883685842959232,HD211380,HIP110014,-,TIC335870780,-,-,-,F5V,*,334.2345,-14.657,45.592,7.16,0
638,HD216402,Gaia DR3 2605300640331419904,HD216402,HIP112974,-,TIC36690359,-,-,-,F8V,PM*,343.1938,-10.0589,38.323,6.742,0
639,HD210277,Gaia DR3 2619706544757416192,HD210277,HIP109378,GJ848.4+GJ9769,TIC50227884,-,-,J22095-0733A,G8V,PM*,332.3745,-7.5487,21.344,6.543,0
640,HD210752,Gaia DR3 2619938606134863872,HD210752,HIP109646,-,TIC38202481,-,-,-,G1V,PM*,333.1814,-6.4689,35.272,7.405,0
641,HD209779,Gaia DR3 2621051110039687936,HD209779,HIP109110,-,TIC404742107,-,-,-,G5V,BY*,331.5221,-5.3582,36.449,7.552,0
642,HD213575,Gaia DR3 2622929144618856704,HD213575,HIP111274,-,TIC250975235,-,-,-,G5V,PM*,338.1419,-6.4672,37.256,6.947,0
643,HD215812A,Gaia DR3 2624387200116495872,HD215812A,-,-,-,-,-,J22478-0414A,G2V,PM*,341.9591,-4.229,33.487,7.173,0
644,HD215812B,Gaia DR3 2624387200116746624,HD215812B,-,-,-,-,-,J22478-0414B,G8V,PM*,341.9586,-4.2288,33.435,7.596,0
645,HD214810,Gaia DR3 2625365215709552512,HD214810,HIP111965,-,TIC250319128,-,-,J22408-0333AB,G9VFe-0.7,**,340.1999,-3.5543,34.538,6.309,0
646,HD219175A,Gaia DR3 2630189151177742336,HD219175A,HIP114702,-,TIC4581907,-,-,J23141-0855A,F7V,PM*,348.5312,-8.9243,40.746,7.57,0
647,HD220476,Gaia DR3 2630815941525069696,HD220476,HIP115527,-,TIC49673617,-,-,-,G5V,PM*,351.0264,-7.5508,30.425,7.62,0
648,HD218730,Gaia DR3 2631283474485026176,HD218730,HIP114424,-,TIC404243869,-,-,-,G0V,PM*,347.603,-7.812,36.718,7.33,0
649,HD221356,Gaia DR3 2633449134434620288,HD221356,HIP116106,GJ9829,TIC250080475,-,-,J23315-0405A,F7V,PM*,352.8813,-4.0874,25.832,6.496,0
650,HD217877,Gaia DR3 2635543704085589504,HD217877,HIP113896,-,TIC248052037,-,-,-,G0-V,PM*,345.9886,-4.7949,30.469,6.681,0
651,HD217580,Gaia DR3 2636589099125426816,HD217580,HIP113718,GJ886,TIC278870306,-,-,-,K3V,SB*,345.4647,-3.8487,16.172,7.459,0
652,12Psc,Gaia DR3 2643862402903084544,HD221146,HIP115951,-,TIC301329955,-,12Psc,-,G1V,*,352.3763,-1.0359,36.318,6.881,0
653,HD217107,Gaia DR3 2648914040357320576,HD217107,HIP113421,-,TIC38271828,-,-,J22583-0224AB,G8IV-V,**,344.5648,-2.3954,20.087,6.155,0
654,HD218059,Gaia DR3 2662112268699428352,HD218059,HIP113980,-,TIC310919689,-,-,-,F5V,PM*,346.2507,4.2254,44.438,7.067,0
655,HD209875,Gaia DR3 2682402931156166016,HD209875,HIP109144,-,TIC418913438,-,-,-,F6V,PM*,331.6382,1.8571,55.334,7.244,0
656,HD208776,Gaia DR3 2695668504585758592,HD208776,HIP108473,-,TIC418446470,-,-,J21585+0347A,G3V,SB*,329.6184,3.7769,43.648,6.97,0
657,HD205702,Gaia DR3 2699514836778244992,HD205702,HIP106707,-,TIC353050719,-,-,-,F8,PM*,324.2221,5.8149,56.477,7.62,0
658,HD215257,Gaia DR3 2704678521338819840,HD215257,HIP112229,-,TIC421999162,-,-,-,F5V,PM*,340.9613,3.8868,42.328,7.421,0
659,HD215778,Gaia DR3 2711537648534853248,HD215778,HIP112521,-,TIC422075701,-,-,-,F8,PM*,341.8744,5.8881,57.37,7.55,0
660,HD215243,Gaia DR3 2717610530428304000,HD215243,HIP112222,-,TIC399547952,-,-,-,G8IV,SB*,340.928,10.9394,36.948,6.513,0
661,HD211476,Gaia DR3 2733790256348020608,HD211476,HIP110035,GJ9777,TIC404487000,-,-,-,G2,PM*,334.3131,12.8985,30.599,7.061,0
662,HD225028A,Gaia DR3 2739059700184753280,HD225028A,-,-,-,-,-,J00028+0208A,-,PM*,0.6966,2.1302,42.788,7.338,0
663,HD377,Gaia DR3 2745647973856851712,HD377,HIP682,-,TIC405187645,-,-,-,G2V,PM*,2.1073,6.6168,38.405,7.59,0
664,HD3861,Gaia DR3 2750176827892427904,HD3861,HIP3236,-,TIC401446825,-,-,J00412+0921A,F8V,PM*,10.2995,9.3551,33.444,6.524,0
665,HD222368,Gaia DR3 2756363608023588864,HD222368,HIP116771,GJ904,TIC419919445,-,17Psc+iotPsc,J23399+0538A,F7V,PM*,354.9877,5.6263,13.654,4.127,0
666,HD223061,Gaia DR3 2759831021020366848,HD223061,HIP117236,-,TIC408374376,-,-,-,G0,PM*,356.5764,9.7851,42.834,7.48,0
667,HD220773,Gaia DR3 2761142326076104192,HD220773,HIP115697,-,TIC354326161,-,-,-,G0,PM*,351.6144,8.6438,50.557,7.108,0
668,HD3674,Gaia DR3 2775451336039913344,HD3674,HIP3119,-,TIC401443854,-,-,-,F8,PM*,9.9196,11.5323,50.935,7.43,0
669,HD8262,Gaia DR3 2786115533677290240,HD8262,HIP6405,-,TIC411629521,-,-,-,G2V,PM*,20.5745,18.6827,26.076,6.966,0
670,HD6715,Gaia DR3 2790914111658905216,HD6715,HIP5335,-,TIC381270241,-,-,-,G5,PM*,17.052,21.977,32.536,7.61,0
671,39Psc,Gaia DR3 2793413885704410112,HD1352,HIP1427,-,TIC52052933,-,39Psc,J00178+1620A,F6V,PM*,4.4583,16.331,47.071,7.21,0
672,HD1764,Gaia DR3 2793543245823732480,HD1764,HIP1736,-,TIC303241443,-,-,-,F5,PM*,5.4889,16.8769,63.311,7.57,0
673,HD483,Gaia DR3 2796824398974914944,HD483,HIP759,-,TIC395353076,-,-,-,G2III,SB*,2.331,17.5339,51.631,7.062,0
674,HD101,Gaia DR3 2797111130991722240,HD101,HIP493,-,TIC258868211,-,-,-,F8,PM*,1.4781,18.235,37.456,7.45,0
675,HD1832,Gaia DR3 2800690281858225408,HD1832,HIP1813,-,TIC238305920,-,-,-,F8,PM*,5.7509,22.375,40.493,7.57,0
676,54Psc,Gaia DR3 2802397960855105920,HD3651,HIP3093,GJ27,TIC434210589,-,54Psc,J00394+2115A,K0.5V,PM*,9.8409,21.2505,11.108,5.884,0
677,HD5294,Gaia DR3 2804011562888218240,HD5294,HIP4290,GJ42.1+GJ9032,TIC13961725,-,-,J00550+2406A,G5,PM*,13.747,24.1003,29.94,7.416,0
678,HD218687,Gaia DR3 2815542965962559488,HD218687,HIP114378,-,TIC218046124,-,-,J23100+1426A,G0V,PM*,347.4879,14.4266,25.135,6.553,0
679,HD218133,Gaia DR3 2815678171532956288,HD218133,HIP114028,-,TIC217856007,-,-,-,G0,PM*,346.3798,14.4517,39.885,7.1,0
680,HD219172,Gaia DR3 2817129458162461056,HD219172,HIP114670,-,TIC97187032,-,-,-,F8V,PM*,348.451,15.3676,45.963,7.37,0
681,HD221914,Gaia DR3 2821292758941963776,HD221914,HIP116478,-,TIC434284083,-,-,-,G6,SB*,354.025,18.4426,34.561,7.647,0
682,HD220334A,Gaia DR3 2825753374536867584,HD220334A,-,-,TIC243126547,-,-,J23228+2034A,G0V,PM*,350.7028,20.5589,38.81,6.633,0
683,HD218261,Gaia DR3 2831490694929214464,HD218261,HIP114096,-,TIC245367276,-,-,-,F6V,PM*,346.6328,19.9109,29.345,6.437,0
684,HD217813,Gaia DR3 2832641058969396864,HD217813,HIP113829,GJ2153,TIC245325810,-,-,-,G1V,BY*,345.7708,20.9186,24.295,6.636,0
